번호,제목,저자,출판사,출판일
77,Public perception of autonomous vehicles: A qualitative study based on interviews after riding an autonomous shuttle,"Hilgarter, Kathrin; Granig, Peter","Elsevier Science B.V., Amsterdam.",2020
78,Augmenting Cybersecurity in Autonomous Vehicles: Innovative Recommendations for Aspiring Entrepreneurs,"Khan, Muhammad Khurram; Quadri, Amanullah",IEEE,2021
79,"Investigating Public Opinion Regarding Autonomous Vehicles: A Perspective from Chiang Mai, Thailand","Cosh,  Kenneth; Wordingham,  Sean; Ramingwong,  Sakgasit",Springer,2017
80,Toward Robust Sensing for Autonomous Vehicles: An Adversarial Perspective,"Modas, Apostolos; Sanchez-Matilla, Ricardo; Frossard, Pascal; Cavallaro, Andrea",INSTITUTE OF ELECTRICAL AND ELECTRONIC ENGINEERS,2020
81,Cooperative control of multiple autonomous marine vehicles: theoretical foundations and practical issues,unknown,Institution of Engineering and Technology,2012
82,MARINE ACQUISITION USING AUTONOMOUS MARINE VEHICLES: A FIELD EXPERIMENT,"Moldoveanu, N.; Salama, A.; Lien, O.; Muyzert, E.; Pai, S.; Monk, D.","Tulsa, OK; Society of Exploration Geophysicists",2014
83,NAVAL COMMUNITY PURSUES NEW AUTONOMOUS SURFACE VEHICLE: the many advantages of the surface vehicle without the cost of underwater vehicles,"Lammons, G.",COMPASS PUBLICATIONS INC,2005
84,Evaluation of driver status in autonomous vehicles: using thermal infrared imaging and other physiological measurements,"Kajiwara, Shinji",Inderscience,2019
85,Securing Connected &#x0026; Autonomous Vehicles: Challenges Posed by Adversarial Machine Learning and the Way Forward,"Qayyum, Adnan; Usama, Muhammad; Qadir, Junaid; Al-Fuqaha, Ala",IEEE,2020
86,Coordinating teams of autonomous vehicles: an architectural perspective [5804-01],"Czichon, C.; Peterson, R. W.; Mettala, E. G.; Vondrak, I.",International Society for Optical Engineering; 1999,2005
87,Agent-Based Simulation of Autonomous Vehicles: A Systematic Literature Review,"Jing, Peng; Hu, Hanbin; Zhan, Fengping; Chen, Yuexia; Shi, Yuji",IEEE,2020
88,Short-range guidance of autonomous vehicles-a comparative study,"Nejat, G.; Benhabib, B.","Elsevier Science B.V., Amsterdam.",2005
89,Behavioural intention to use autonomous vehicles: Systematic review and empirical extension,"Keszey, Tamara","Elsevier Science B.V., Amsterdam",2020
90,"Drivers not required Autonomous vehicles. Finally, has their time come?",unknown,UIP,2004
91,Environmental monitoring using autonomous vehicles: a survey of recent searching techniques,"Bayat, Behzad; Crasta, Naveena; Crespi, Alessandro; Pascoal, António M.; Ijspeert, Auke","Elsevier Science B.V., Amsterdam.",2017
92,Tactile Internet for Autonomous Vehicles: Latency and Reliability Analysis,"Tanwar, Sudeep; Tyagi, Sudhanshu; Budhiraja, Ishan; Kumar, Neeraj",IEEE,2019
93,Styled-Velocity Flocking of Autonomous Vehicles: A Systematic Design,"Han, T.; Ge, S. S.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
94,Fuzzy Path Tracking of Autonomous Vehicles: Global Stability Analysis Using Frequency Response Techniques,"Ollero, A.;Heredia, G.;Gordillo, F.;Aracil, J.",Published for the International Federation of Automatic Control by Pergamon,1999
95,Learning Self-Awareness for Autonomous Vehicles: Exploring Multisensory Incremental Models,"Ravanbakhsh, Mahdyar; Baydoun, Mohamad; Campo, Damian; Marin, Pablo; Martin, David; Marcenaro, Lucio; Regazzoni, Carlo",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2021
96,Intelligent Control of Autonomous Underwater Vehicles: The Orca Project,"Turner, R. M.",Institute of Electrical and Electronics Engineers,1993
97,Artificial cognition for autonomous planar vehicles: modelling collision avoidance and collective manoeuvre,"Ivancevic, V.; Aidman, E.; Yen, L.",Inderscience,2008
98,Principles of transparency for autonomous vehicles: first results of an experiment with an augmented reality human–machine interface,"Pokam, Raissa; Debernard, Serge; Chauvin, Christine; Langlois, Sabine",Springer Nature,2019
99,Modeling Transportation Systems involving Autonomous Vehicles: A State of the Art,"Berrada, Jaâfar; Leurent, Fabien","Elsevier Science B.V., Amsterdam",2017
100,Satellite tracked drifters and autonomous underwater vehicles: Two novel applications for GPS,"Meldrum, D. T.",INSTITUTION OF ELECTRICAL ENGINEERS,1997
1,Technological perception on autonomous vehicles: perspectives of the non-motorists,"Das, Subasish; Dutta, Anandi; Fitzpatrick, Kay",Taylor & Francis,2020
2,Responsibility for Crashes of Autonomous Vehicles: An Ethical Analysis,"Hevelke, A.; Nida-Rümelin, J.",Springer Science + Business Media,2015
3,Formation Control of Multiple Autonomous Vehicles: Theory and Experimentation,"Kang, W.; Xi, N.; Zhao, Y.; Tan, J.; Wang, Y.",Published for the International Federation of Automatic Control by Pergamon,2002
4,"Platooning With IVC-Enabled Autonomous Vehicles: Strategies to Mitigate Communication Delays, Improve Safety and Traffic Flow","Fernandes, P.; Nunes, U.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2012
5,Guidance and control of autonomous vehicles: A feasibility study,"Yavin, Y.",ELEKTRON MANAGEMENT PARTNERSHIP,1997
6,Containment control of networked autonomous underwater vehicles: A predictor-based neural DSC design,"Peng, Zhouhua; Wang, Dan; Wang, Wei; Liu, Lu",INSTRUMENTATION SYSTEMS AND AUTOMATION SOCIETY,2015
7,Coordination of Cooperative Autonomous Vehicles: Toward safer and more efficient road transportation,"Hult, R.; Campos, G.; Steinmetz, E.; Hammarstrand, L.; Falcone, P.; Wymeersch, H.",INSTITUTE OF ELECTRICAL AND ELECTRONIC ENGINEERS,2016
8,DSCC2017-5133 Competing Swarms of Autonomous Vehicles: Intruders Versus Guardians,"Shishika, Daigo; Sherman, Katarina; Paley, Derek A.",ASME,2017
9,Are Cities Prepared for Autonomous Vehicles?,"Freemark, Yonah; Hudson, Anne; Zhao, Jinhua",Taylor and Francis,2019
10,From semi to fully autonomous vehicles: New emerging risks and ethico-legal challenges for human-machine interactions,"Bellet, Thierry; Cunneen, Martin; Mullins, Martin; Murphy, Finbarr; Pütz, Fabian; Spickermann, Florian; Braendle, Claudia; Baumann, Martina Felicitas","Elsevier Science B.V., Amsterdam.",2019
11,The limits of highly autonomous vehicles: an uncertain future,"Endsley, Mica R.",Taylor & Francis,2019
12,Public Acceptance of Autonomous Vehicles: Determinants and Potential of Modification,"Taniguchi, Ayako",SOCIETY OF AUTOMOTIVE ENGINEERS OF JAPAN,2019
13,Cognitive Enhancement and Autonomous Vehicles: What Differences in Social and Individual Endorsement Imply,"Vukov, Joseph; Meda, Rohan; Khan, Sarah",Taylor & Francis,2020
14,Platooning The birth of autonomous vehicles?,unknown,Freight Transport Association,2016
15,Cooperative formation control of autonomous underwater vehicles: An overview,"Das, B.; Subudhi, B.; Pati, B. B.",Springer Science + Business Media,2016
16,Latest Challenges in Autonomous Vehicles: A Practitioner's Perspective: Technology Leadership Brief,"Broggi, A.",Society of Automotive Engineers,2012
17,Management and business of autonomous vehicles: a systematic integrative bibliographic review,"Cavazza, Bruna Habib; Gandia, Rodrigo Marçal; Antonialli, Fabio; Zambalde, André Luiz; Nicolaï, Isabelle; Sugano, Joel Yutaka; Neto, Arthur De Miranda",Inderscience,2019
18,Design Insights for an Autonomous Vehicles-based Storage and Retrieval System - Paper Available,"Roy, D.; Krishnamurthy, A.; Heragu, S.; Malmborg, C.","Norcross, Ga.; Institute of Industrial Engineers",2009
19,"Sustainability prospects for autonomous vehicles: environmental, social and urban","Milakis, Dimitris",Taylor & Francis,2021
20,An Architecture for Autonomous Flying Vehicles: A Preliminary Report,"Lee, L.-F.",SPRINGER VERLAG KG,1996
21,Transportation Systems with Autonomous Vehicles: models and algorithms for equilibrium assignment,"Cantarella, G.E.; Febbraro, A. Di","Elsevier Science B.V., Amsterdam",2017
22,Control Design for Autonomous Vehicles: A Dynamic Optimization Perspective,"Pereira, F. L.",SPRINGER,2001
23,Real-Time Navigation for Autonomous Vehicles: A Fuzzy Obstacle Avoidance and Goal Approach Algorithm,"Chen, Q.; Ozguner, U.",unknown,2005
24,Power sources for micro-autonomous vehicles: challenges and prospects [7318-24],"Narayan, S.R.; Kisor, A.; Valdez, T.I.; Manohara, H.",International Society for Optical Engineering; 1999,2009
25,Optimization of shared autonomous electric vehicles operations with charge scheduling and vehicle-to-grid,"Iacobucci, Riccardo; McLellan, Benjamin; Tezuka, Tetsuo","Elsevier Science B.V., Amsterdam",2019
26,Owning or sharing autonomous vehicles: comparing different ownership and usage scenarios,"Mourad, Abood; Puchinger, Jakob; Chu, Chengbin",Springer Nature,2019
27,Path Planning for Autonomous Underwater Vehicles: An Ant Colony Algorithm Incorporating Alarm Pheromone,"Ma, Yi-Ning",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
28,Cognitive Competence Improvement for Autonomous Vehicles: A Lane Change Identification Model for Distant Preceding Vehicles,"Wang, Chang",IEEE,2019
29,Safe navigation for autonomous vehicles: a purposive and direct solution,"Young, G.-S.",SPIE INTERNATIONAL SOCIETY FOR OPTICAL,1993
30,Path Planning Technologies for Autonomous Underwater Vehicles-A Review,unknown,IEEE,2019
31,Proof-of-Event Recording System for Autonomous Vehicles: A Blockchain-Based Solution,"Guo, Hao; Li, Wanxin; Nejad, Mark; Shen, Chien-Chung",IEEE,2020
32,Locating Intersections for Autonomous Vehicles: A Bayesian Network Approach,"Choi, K.-H.; Joo, S.; Cho, S. I.; Park, J.-H.",ELECTRONICS AND TELECOMMUNICATIONS RESEARCH,2007
33,Liability design for autonomous vehicles and human-driven vehicles: A hierarchical game-theoretic approach,"Di, Xuan; Chen, Xu; Talley, Eric","Elsevier Science B.V., Amsterdam",2020
34,Coordinated Control of Networked Vehicles: An Autonomous Underwater System,"Lobo Pereira, F.; Borges de Sousa, J.",Kluwer Academic Publishers,2004
35,Trajectory Tracking for Autonomous Vehicles: An Integrated Approach to Guidance and Control,"Kaminer, I.",AMERICAN INST OF AERONAUTICS AND ASTRONAUTICS,1998
36,"""Human"" Problems in Semi-Autonomous Vehicles: Understanding Drivers' Reactions to Off-Nominal Scenarios","Favarò, Francesca M.; Eurich, Sky O.; Rizvi, Syeda S.",Taylor & Francis,2019
37,Fuzzy logic and autonomous vehicles: Experiments in ultrasonic vision,"Poloni, M.",ELSEVIER SCIENCE DIVISION,1995
38,Antisubmarine warfare applications for autonomous underwater vehicles: The GLINT09 sea trial results,"Hamilton, M. J.; Kemna, S.; Hughes, D.",John Wiley & Sons,2010
39,Takeover Transition in Autonomous Vehicles: A YouTube Study,"Zhou, Feng; Yang, X. Jessie; Zhang, Xin",Taylor & Francis,2020
40,The Safety of Autonomous Vehicles: Lessons from Philosophy of Science,"Hicks, D.","THE IEEE, INC.",2018
41,"Traffic Accidents with Autonomous Vehicles: Type of Collisions, Manoeuvres and Errors of Conventional Vehicles' Drivers","Petrović, Đorđe; Mijailović, Radomir; Pešić, Dalibor","Elsevier Science B.V., Amsterdam",2020
42,"A Roadmap for Autonomous Vehicles: State Tort Liability, Automobile Insurance, and Federal Safety Regulation","Geistfeld,  Mark A.",CALIFORNIA LAW REVIEW INC.,2017
43,Improved manoeuvring of autonomous passenger vehicles: Simulations and field results,M Elbanhawi; M Simic; R Jazar,Sage Science Press,2017
44,Dynamic Wireless Charging of Autonomous Vehicles: Small-scale demonstration of inductive power transfer as an enabling technology for self-sufficient energy supply,"Guidi, Giuseppe; Lekkas, Anastasios M.; Stranden, Jon Eivind; Suul, Jon Are",IEEE,2020
45,Aggressive maneuvering of autonomous aerial vehicles: a human-centered approach,"Piedmonte, M.;Feron, E.",Springer,2000
46,Mixed flow of autonomous and human-driven vehicles: Analytical headway modeling and optimal lane management,"Mohajerpoor, Reza; Ramezani, Mohsen","Elsevier Science B.V., Amsterdam",2019
47,Modeling and Simulation of Autonomous Underwater Vehicles: Design and Implementation,"Song, F.; An, P. E.; Folleco, A.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2003
48,"Preparing a nation for autonomous vehicles: opportunities, barriers and policy recommendations","Fagnant, D.J.; Kockelman, K.","Elsevier Science B.V., Amsterdam.",2015
49,The Future of Autonomous Vehicles: Lessons from the Literature on Technology Adoption,"Kaplan, Scott; Gordon, Ben; El Zarwi, Feras; Walker, Joan L.; Zilberman, David",Oxford University Press,2019
50,"Carsharing with shared autonomous vehicles: Uncovering drivers, barriers and future developments – A four-stage Delphi study","Merfeld, Katrin; Wilhelms, Mark-Philipp; Henkel, Sven; Kreutzer, Karin","Elsevier Science B.V., Amsterdam.",2019
51,Building Trust in Autonomous Vehicles: Role of Virtual Reality Driving Simulators in HMI Design,"Morra, Lia",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
52,Towards user acceptance of autonomous vehicles: a virtual reality study on human-machine interfaces,"Stadler, Sebastian; Cornet, Henriette; Frenkler, Fritz",INDERSCIENCE PUBLISHERS,2020
53,SDN-Based Internet of Autonomous Vehicles: An Energy-Efficient Approach for Controller Placement,"Kaur, Kuljeet; Garg, Sahil; Kaddoum, Georges; Kumar, Neeraj; Gagnon, Francois",IEEE,2019
54,Cyber Threats Facing Autonomous and Connected Vehicles: Future Challenges,"Parkinson, S.; Ward, P.; Wilson, K.; Miller, J.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2017
55,Perceived benefits and concerns of autonomous vehicles: An exploratory study of millennials' sentiments of an emerging market,"Woldeamanuel, Mintesnot; Nguyen, Dang",ELSEVIER SCIENCE B.V. AMSTERDAM,2018
56,Artificial intelligence applications in the development of autonomous vehicles: a survey,"Ma, Yifang; Wang, Zhenyu; Yang, Hong; Yang, Lin",IEEE,2020
57,Predicting the adoption of connected autonomous vehicles: A new approach based on the theory of diffusion of innovations,"Talebian, Ahmadreza; Mishra, Sabyasachee","Elsevier Science B.V., Amsterdam",2018
58,The determinants of public acceptance of autonomous vehicles: An innovation diffusion perspective,"Yuen, Kum Fai; Wong, Yiik Diew; Ma, Fei; Wang, Xueqin","Elsevier Science B.V., Amsterdam.",2020
59,"Discussing the ""positive utilities"" of autonomous vehicles: will travellers really use their time productively?","Singleton, Patrick A.",Taylor & Francis,2019
60,"SHALLOW-WATER SURVEYS WITH A FLEET OF HETEROGENEOUS AUTONOMOUS VEHICLES: Ricardo Martins and Joao Borges de Sousa (Porto University) and Carlos Carvalho Afonso (Portuguese Navy) review the REP-AUV10 and REP-AUV11 exercises, which demonstrated potential ways to enhance AUV capabilities and develop interoperable systems",unknown,COMPASS PUBLICATIONS INC,2011
61,Public discomfort at the prospect of autonomous vehicles: Building on previous surveys to measure attitudes in 11 countries,"Tennant, Chris; Stares, Sally; Howard, Susan","Elsevier Science B.V., Amsterdam.",2019
62,A neural-network approach to high-precision docking of autonomous vehicles/platforms,"Wong, J.; Nejat, G.; Fenton, R.; Benhabib, B.",CAMBRIDGE UNIV PRESS,2007
63,Potential of Urban Land Use by Autonomous Vehicles: Analyzing Land Use Potential in Seoul Capital Area of Korea,"Kang, Na-Yoon",IEEE,2019
64,Automotive Software in Connected and Autonomous Electric Vehicles: A Review,unknown,IEEE,2019
65,Curvature-optimal path planning and servoing for autonomous vehicles: a neural net implementation,"Rintanen, K. T.",PERGAMON PRESS,1994
66,The Backseat Control Architecture for Autonomous Robotic Vehicles: A Case Study with the Iver2 AUV,"Eickstedt, D.P.; Sideleau, S.R.",MARINE TECHNOLOGY SOCIETY INC,2010
67,Learning and Meta-Learning for Coordination of Autonomous Unmanned Vehicles. A Preliminary Analysis,"Tosic, P.T.; Vilalta, R.",IOS Press,2010
68,Could We Issue Driving Licenses to Autonomous Vehicles?,"Li, Jingyue; Zhang, Jin; Kaloudi, Nektaria",Springer,2018
69,Dis/orientations on driverless driving and autonomous vehicles?,"Baumann, Martina F.; Brändle, Claudia; Zimmer-Merkle, Silke",Taylor & Francis,2019
70,Intelligent Intersection Management Systems Considering Autonomous Vehicles: A Systematic Literature Review,unknown,IEEE,2019
71,Cyber-Physical Security and Safety of Autonomous Connected Vehicles: Optimal Control Meets Multi-Armed Bandit Learning,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
72,Deriving metrics of driving comfort for autonomous vehicles: A dynamic latent variable model of speed choice,"Paschalidis, Evangelos; Hajiseyedjavadi, Foroogh; Wei, Chongfeng; Solernou, Albert; Hamish Jamson, A.; Merat, Natasha; Romano, Richard; Boer, Erwin R.",Elsevier,2020
73,Command and Control for Intelligent Autonomous Vehicles: An Approach Emphasising Interoperability,"Harris, C. J.",PERGAMON PRESS,1993
74,THE SMART FORK: Automated highways or autonomous vehicles?,"Misener, J.",UIP,2008
75,Adaptive Error and Sensor Management for Autonomous Vehicles: Model-Based Approach and Run-Time System,"Frtunikj, J.; Rupanov, V.; Armbruster, M.; Knoll, A.",SPRINGER-VERLAG,2014
76,"Risk perception and social acceptability of autonomous vehicles: A case study in Hiroshima, Japan","Chikaraishi, Makoto; Khan, Diana; Yasuda, Banri; Fujiwara, Akimasa","Elsevier Science B.V., Amsterdam.",2020
77,Stochastic LWR model with heterogeneous vehicles: Theory and application for autonomous vehicles,"Martínez, Irene; Jin, Wen-long","Elsevier Science B.V., Amsterdam",2020
78,Advanced control and stability of autonomous road vehicles: Part II Practical stability of road vehicles,"Vukobratovic, M. K.; Rodic, A. D.",INDERSCIENCE ENTERPRISES LTD,2002
79,Navigation Systems Panel Report Navigation Systems for Autonomous and Semi-Autonomous Vehicles: Current Trends and Future Challenges,"Kassas, Zaher M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
80,Examining the myths of connected and autonomous vehicles: analysing the pathway to a driverless mobility paradigm,"Nikitas, Alexandros; Njoya, Eric Tchouamou; Dani, Samir",Inderscience,2019
81,Consumer intentions for alternative fuelled and autonomous vehicles: A segmentation analysis across six countries,"Potoglou, Dimitris; Whittle, Colin; Tsouros, Ioannis; Whitmarsh, Lorraine","Elsevier Science B.V., Amsterdam",2020
82,Selling AI: The Case of Fully Autonomous Vehicles.,"BAILEY, DIANE E.; ERICKSON, INGRID. ",JOHN WILEY & SONS LTD,2019
83,Control Strategies and Novel Techniques for Autonomous Rotorcraft Unmanned Aerial Vehicles: A Review,"Abdelmaksoud, Sherif I.; Mailah, Musa; Abdallah, Ayman M.",IEEE,2020
84,Advanced control and stability of autonomous road vehicles: Part I Synthesis of a hybrid neuro-dynamic controller,"Rodic, A. D.; Vukobratovic, M. K.",INDERSCIENCE ENTERPRISES LTD,2002
85,Assessing the Long-term Effects of Autonomous Vehicles: A Speculative Approach,"Gruel, Wolfgang; Stanford, Joseph M.","Elsevier Science B.V., Amsterdam",2016
86,Continuous and embedded learning in autonomous vehicles: adapting to sensor failures [4024-08],"Schultz, A. C.",International Society for Optical Engineering; 1999,2000
87,Machine-Learning-Enabled Cooperative Perception for Connected Autonomous Vehicles: Challenges and Opportunities,"Yang, Qing; Fu, Song; Wang, Honggang; Fang, Hua",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
88,The ethics of the ethics of autonomous vehicles: Levinas and naked streets,"Andrade, Julio A.",Taylor & Francis,2021
89,Modelling the acceptance of fully autonomous vehicles: A media-based perception and adoption model,"Zhu, Ge; Chen, Yuche; Zheng, Jiali","Elsevier Science B.V., Amsterdam.",2020
90,ROBUST CONTROL OF A PLATOON OF UNDERWATER AUTONOMOUS VEHICLES: using large numbers of vehicles to acquire high-resolution data over wide areas in a reasonable time period,"Okamoto, A.; Edwards, B.; Anderson, M. J.",COMPASS PUBLICATIONS INC,2005
91,Adoption and willingness to pay for autonomous vehicles: Attitudes and latent classes,"Rahimi, Alireza; Azimi, Ghazaleh; Asgari, Hamidreza; Jin, Xia","Elsevier Science B.V., Amsterdam",2020
92,Command and Control for Intelligent Autonomous Vehicles: An Approach Emphasising Interoperability,"Harris, C. J.;Fraser, R. J. C.",Pergamon Press,1992
93,Cooperative Path Following Ring-Networked Under-Actuated Autonomous Surface Vehicles: Algorithms and Experimental Results,unknown,IEEE,2020
94,A Human-Like Model to Understand Surrounding Vehicles&#x2019; Lane Changing Intentions for Autonomous Driving,"Xia, Yingji; Qu, Zhaowei; Sun, Zhe; Li, Zhihui",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
95,4D Automotive Radar Sensing for Autonomous Vehicles: A Sparsity-Oriented Approach,"Sun, Shunqiao; Zhang, Yimin D.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2021
96,DETC2015-46432 An Innovative Navigation Strategy for Autonomous Underwater Vehicles: An Unscented Kalman Filter Based Approach,"Allotta, Benedetto; Costanzi, Riccardo; Meli, Enrico; Ridolfi, Alessandro; Chisci, Luigi; Fantacci, Claudio; Caiti, Andrea; Di Corato, Francesco; Fenucci, Davide",American Society of Mechanical Engineers,2015
97,Optimisation based control framework for autonomous vehicles: algorithm and experiment,"Liu, C.; Chen, W.-H.; Andrews, J.",Piscataway; IEEE,2010
98,Federated Learning With Blockchain for Autonomous Vehicles: Analysis and Design Challenges,"Pokhrel, Shiva Raj; Choi, Jinho",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
99,Antidisturbance Coordinated Path Following Control of Robotic Autonomous Surface Vehicles: Theory and Experiment,"Gu, Nan",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2019
100,Convergence of Electric Mobility and Autonomous Vehicles-New Aspects of Automotive Architecture and Human-Machine Interaction ,"Soost, Friedrich W. G.",American Scientific Publishers,2016
1,Robust Tracking and Parking Control Laws for Wheeled Autonomous Vehicles,"Hamel, T.;Meizel, D.",Pergamon,1995
2,Design of a Robust High Performance Fuzzy Path Tracker for Autonomous Vehicles,"Garcia-Cerezo, A.;Ollero, A.;Martinez, J. L.",Pergamon,1995
3,A Global Road Scene Analysis System for Autonomous Vehicles,"Jurie, F.;Martinet, P.;Gallice, J.",Pergamon,1995
4,Two Sensor Based Obstacle Avoidance for Autonomous Vehicles,"Hitchings, M. R.; Engwirda, A.; Kajitani, M.; Vlacic, L. B.",Published for the International Federation of Automatic Control by Pergamon,1998
5,Path Planning by Intelligent Autonomous Robotic Vehicles with Growing World Models,"Petrov, A. A.;Sirota, I. M.",Pergamon,1995
6,Mechatronics Structure of Wall Climbing Autonomous Vehicles,"Gradetsky, V. G.;Veshnikov, V. B.;Ulyanov, S. V.",Pergamon,1995
7,Map-Based Free Navigation for Autonomous Vehicles,"Freund, E.;Dierks, F.",Pergamon,1995
8,Neural Speed Control for Autonomous Road Vehicles,"Fritz, H.",Pergamon,1995
9,Hierarchical Behavioural Control for Autonomous Vehicles,"Voudouris, C.;Chernett, P.;Wang, C. J.;Callaghan, V. L.",Pergamon,1995
10,Fuzzy ARTMAP Neural Networks (FMNN) Based Navigation for Intelligent Autonomous Vehicles (IAV) in Partially Structured Environments,"Chohra, A.",Published for the International Federation of Automatic Control by Pergamon,1998
11,Autonomous Driving with Concurrent Goals and Multiple Vehicles: Experiments and Mobility Components,"Brumitt, B.; Stentz, A.; Hebert, M.; CMU UGV Group",KLUWER ACADEMIC PUBLISHERS,2002
12,"Towards semi-autonomous operation of under-actuated underwater vehicles: sensor fusion, on-line identification and visual servo control","Karras, G. C.",Springer Science + Business Media,2011
13,Autonomous Vehicles&#x2019; Turning Motion Planning for Conflict Areas at Mixed-Flow Intersections,"Zhou, Donghao; Ma, Zian; Sun, Jian",IEEE,2020
14,Autonomous Underwater Vehicles: Hybrid Control of Mission and Motion,"Marco, D. B.",KLUWER ACADEMIC PUBLISHERS,1996
15,Computationally aware control of autonomous vehicles: a hybrid model predictive control approach,"Zhang, K.",Springer Science + Business Media,2015
16,Autonomous Driving with Concurrent Goals and Multiple Vehicles: Mission Planning and Architecture,"Brumitt, B.",KLUWER ACADEMIC PUBLISHERS,2001
17,Range-based target localization and pursuit with autonomous vehicles: An approach using posterior CRLB and model predictive control,"Hung, Nguyen T.; Crasta, N.; Moreno-Salinas, David; Pascoal, António M.; Johansen, Tor A.","Elsevier Science B.V., Amsterdam.",2020
18,Intelligence Testing for Autonomous Vehicles: A New Approach,"Li,  L.; Huang,  W.-L.; Liu,  Y.; Zheng,  N.-N.; Wang,  F.-Y.",IEEE,2016
19,Looking at Hands in Autonomous Vehicles: A ConvNet Approach Using Part Affinity Fields,"Yuen, Kevan; Trivedi, Mohan Manubhai",IEEE,2020
20,Comparison of Advanced Rechargeable Batteries for Autonomous Underwater Vehicles,"Descroix, J. P.; Chagnon, G.",IEEE,1994
21,Propeller/Stator Propulsors for Autonomous Underwater Vehicles,"Guener, M.; Glover, E. J.",IEEE,1994
22,Computational Issues in Motion Planning For Autonomous Underwater Vehicles with Manipulators,"Quinn, A. W.; Lane, D. M.",IEEE,1994
23,Activity-Based Mission Planning and Plan Management for Autonomous Vehicles,"Hall, W. D.; Farrell, J. A.",IEEE,1994
24,Using a Fleet of Autonomous Bottom Crawling Vehicles for Surf Zone Operations,"Duarte, C. N.; Carlino, D. J.",IEEE,1994
25,An Approach to Intelligent Distributed Control for Autonomous Underwater Vehicles,"Smith, S. M.",IEEE,1994
26,Acoustic Communication Between Two Autonomous Underwater Vehicles,"Chappell, S. G.; Jalbert, J. C.; Pietryka, P.; Duchesney, J.",IEEE,1994
27,On-Line Damage Detection for Autonomous Underwater Vehicles,"Rae, G. J. S.; Dunn, S. E.",IEEE,1994
28,Visual Navigation along Reference Lines and Collision Avoidance for Autonomous Vehicles,"Kato, S.; Tomita, K.; Tsugawa, S.",IEEE,1996
29,Model-Based Neural Distance Control for Autonomous Road Vehicles,"Fritz, H.",IEEE,1996
30,Design of Autonomous Underwater Vehicles for Cage Aquafarms,"Lee, J.; Roh, M.; Kim, K.; Lee, D.",Institute of Electrical and Electronics Engineers,2007
31,Navigation of Autonomous Vehicles in Unknown Environments Using Reinforcement Learning,"Martynez-Maryn, T.; Rodryguez, R.",Institute of Electrical and Electronics Engineers,2007
32,Planning of Minimal-Time Trajectories for High Speed Autonomous Vehicles,"Kuhnert, K.-D.; Seemann, W.",Institute of Electrical and Electronics Engineers,2007
33,EMS-Vision: A Perceptual System for Autonomous Vehicles,"Gregor, R.;Lutzeler, M.;Pellkofer, M.;Siedersberger, K. H.;Dickmanns, E. D.",IEEE,2000
34,A Transputer-Based Distributed System for Autonomous Vehicles Control,"Gil, T.;Benoit, M.",IEEE,1993
35,Obstacle Avoidance for Autonomous Ground Vehicles in Outdoor Environments,"Cellini, M.; Mati, R.; Pollini, L.; Innocenti, M.",Institute of Electrical and Electronics Engineers,2007
36,Vision-Based Navigation Assistance for Autonomous Factory Transport Vehicles,"Lauterbach, B.;Forgber, E.;Urban, G.;Anheier, W.",IEEE,1993
37,Collision Free Guidance of Autonomous Road Vehicles,"Freund, E.;Lammen, B.",IOS Press,1993
38,Performance Improvements for Autonomous Road Vehicles,"Dickmanns, E.",IOS Press,1995
39,A Hybrid Control Architecture for Autonomous Mobile Vehicles Operating in a Dynamic Environment,"Nebot, E.;Schenkel, G.",IOS Press,1995
40,EMS-Vision: Gaze Control in Autonomous Vehicles,"Pellkofer, M.;Dickmanns, E. D.",IEEE,2000
41,Quintic G^2 - Splines For Trajectory Planning of Autonomous Vehicles,"Piazzi, A.;Guarino Lo Bianco, C.",IEEE,2000
42,The Application of Autonomous Air Vehicles to the Battlefield Monitoring of Ground Vehicle Movements,"Jones, L. C.;Markham, K. C.",University of Bristol,1993
43,The Application of Autonomous Air Vehicles to the Battlefield Monitoring of Ground Vehicle Movements,"Jones, L. C.;Markham, K. C.",University of Bristol,1993
44,Lane Finding Using Homogeneous Groups of Cooperating Autonomous Vehicles,"Redfield, S.","IEEE,",2004
45,A Simulation Tool to Support the Development of Adaptive Sampling Algorithms for Multiple Autonomous Underwater Vehicles,"Cannell, C. J.; Stilwell, D. J.; Austin, J. A.","IEEE,",2004
